"","S.No.","AOC.Date","e.Published.Date","Title.and.Ref.No..Tender.Id","State.Name","Tender.ID","Organisation.Name","Tender.Ref..No.","Tender.Description","Tender.Type","Number.of.bids.received","Name.of.the.selected.bidder.s.","Address.of.the.selected.bidder.s.","Contract.Value","Tender.Published.Date","Contract.Date","Date.of.Completion.Completion.Period.in.Days"
"1",15537,2020-06-01,2020-03-18,"PROCUREMENT OF RAJASTHAN MADE LIQUOR AND&amp;#x0d;
COUNTRY LIQUOR/ RSGSM/RML-CL/ OCB/2020-21/ Pur/64 / 2020_RSGSM_181493_1","Rajasthan","2020_RSGSM_181493_1"," Rajasthan State Gangnagar Sugar Mills||GM, RSGSM||Dy.GM - Pur. "," RSGSM/RML-CL/ OCB/2020-21/ Pur/64 "," PROCUREMENT OF RAJASTHAN MADE LIQUOR AND&#x0d;
COUNTRY LIQUOR "," Goods ",13," Agribiotech Industry Ltd.,M/s GLOBUS SPIRITS LTD.,HSB Agro Industries (P) Ltd.,VINTAGE DISTILLERS LIMITED,M/S H H Bottling Plant,M/s RAJWADA BREWERIES AND BOTTLINGS PVT. LTD.,M/s AJENTA CHEMICALS INDIA LTD.,vijeta beverages pvt. ltd,M/S WILD BERRIES BOTTLING PRIVATE LIMITED,M/s Starlight Bruchem Limited,RN PRODUCTS,Hindustan Spirits Ltd ","  ",7e+09," 18-Mar-2020 06:25 PM ",2020-06-01," 01-Jan-1970 05:30 AM "
"2",3413,2020-07-04,2020-06-13,"Disposal of liquor shop/group for CWA/F-1 DISTRICT CHHINDWARA LIQUOR GROUP/ CWA/F-1 DISTRICT CHHINDWARA / 2020_EXCIS_93666_1","Madhya Pradesh","2020_EXCIS_93666_1"," Excise Department||District Excise Office Indore "," 1901 Indore 13.06.2020 "," CL Shop-47, FL Shop-33 and BIO Shop-01 "," Services ",2," MAAKASTURI ENTERPRISES LLP ","  ",4776430683," 13-Jun-2020 11:00 AM ",2020-07-04," 01-Jan-1970 05:30 AM "
"3",3414,2020-07-01,2020-06-13,"CONSTRUCTION OF UNDERGROUND CEMENT CONCRETE DRAIN AT WENI/ eTENDER/WENI/2020-21/1 / 2020_YAVAT_584359_1","Maharashtra","2020_YAVAT_584359_1"," Excise Department||District Excise Office Indore "," 1901 Indore 13.06.2020 "," CL Shop-47, FL Shop-33 and BIO Shop-01 "," Services ",2," MAAKASTURI ENTERPRISES LLP ","  ",4776430683," 13-Jun-2020 11:00 AM ",2020-07-04," 01-Jan-1970 05:30 AM "
"4",3412,2020-07-03,2020-06-13,"GWL/East-2 (Gwalior Purv)/ 2018/12.06.20 / 2020_EXCIS_93514_1","Madhya Pradesh","2020_EXCIS_93514_1"," Excise Department||District Excise Office Indore "," 1901 Indore 13.06.2020 "," CL Shop-59 FL Shop-36 and BIO Shop-1 "," Services ",2," MAHAKAL LIQUOR CONTRACTOR LLP ","  ",3878195618," 13-Jun-2020 11:00 AM ",2020-07-04," 01-Jan-1970 05:30 AM "
"5",3416,2020-07-04,2020-06-13,"CL Shop-47, FL Shop-33 and BIO Shop-01/ 1901 Indore 13.06.2020 / 2020_EXCIS_93664_1","Madhya Pradesh","2020_EXCIS_93664_1"," Excise Department||District Excise Office Indore "," 1901 Indore 13.06.2020 "," CL Shop-59 FL Shop-36 and BIO Shop-1 "," Services ",2," MAHAKAL LIQUOR CONTRACTOR LLP ","  ",3878195618," 13-Jun-2020 11:00 AM ",2020-07-04," 01-Jan-1970 05:30 AM "
"6",3418,2020-07-04,2020-06-13,"CL Shop-59 FL Shop-36 and BIO Shop-1/ 1901 Indore 13.06.2020 / 2020_EXCIS_93664_2","Madhya Pradesh","2020_EXCIS_93664_2"," Excise Department||District Excise Office Indore "," 1901 Indore 13.06.2020 "," CL Shop-59 FL Shop-36 and BIO Shop-1 "," Services ",2," MAHAKAL LIQUOR CONTRACTOR LLP ","  ",3878195618," 13-Jun-2020 11:00 AM ",2020-07-04," 01-Jan-1970 05:30 AM "
"7",3419,2020-08-07,2020-06-13,"Road work/ ET/17/2020-21/AE/LSGD/NCD/21 / 2020_LSGD_364207_1","Kerala","2020_LSGD_364207_1"," Excise Department||District Excise Office Indore "," 1901 Indore 13.06.2020 "," CL Shop-59 FL Shop-36 and BIO Shop-1 "," Services ",2," MAHAKAL LIQUOR CONTRACTOR LLP ","  ",3878195618," 13-Jun-2020 11:00 AM ",2020-07-04," 01-Jan-1970 05:30 AM "
"8",1287,2020-07-04,2020-07-02,"GWL/West-1 (Gwalior Pashchim)/ 2292/01.07.20 / 2020_EXCIS_96491_1","Madhya Pradesh","2020_EXCIS_96491_1"," Excise Department||District Excise Office Ujjain "," UJJAIN/1523/01.07.2020 "," 104 cs and 37 fl shops "," Services ",1," Shree Samriddhi Traders ","  ",2866100011," 02-Jul-2020 09:00 AM ",2021-03-31," 01-Jan-1970 05:30 AM "
"9",3405,2021-03-31,2020-06-13,"104 Country Liquor Shops and 37 Foreign Liquor Shops in Ujjain District Group/ UJJAIN/1362/12.06.2020 / 2020_EXCIS_93673_1","Madhya Pradesh","2020_EXCIS_93673_1"," Excise Department||District Excise Office Ujjain "," UJJAIN/1362/12.06.2020 "," 104 Country Liquor Shops and 37 Foreign Liquor Shops in Ujjain District Group "," Services ",1," Shree Samriddhi Traders ","  ",2866100011," 13-Jun-2020 12:05 PM ",2021-03-31," 01-Jan-1970 05:30 AM "
"10",1824,2020-07-26,2020-06-25,"Pattiam GP  Project No.43/20. 21 Tarring Works to Municipality road In front of Saradas Bus stop/ AE/LSGD/PTM/ETEN-02/2020-21 / 2020_LSGD_367599_15","Kerala","2020_LSGD_367599_15"," Excise Department||District Excise Office Sagar "," 1193/24.06.20 "," SGR/C-1 District- Sagar "," Services ",2," Himalaya Traders ","  ",2455688000," 25-Jun-2020 02:00 PM ",2020-06-27," 01-Jan-1970 05:30 AM "
